entry_id,tool,category,entry_risk,artifact_class,artifact,os,forensic_value,evidence_type,description,confidence,volatility,retention
AIRT-0013,AgentGPT,agent-framework,medium,credential,NEXTAUTH_SECRET  (set in <install>/next/.env),windows|macos|linux|docker,high,credential-access,"plaintext: NextAuth session/JWT signing key, generated by the setup CLI as 32 random bytes base64 and written in plaintext. Distinct from the API keys in the same file because its compromise means forged authenticated sessions against the self-hosted UI, so it belongs on the rotate-first list.",high,stable,
AIRT-0013,AgentGPT,agent-framework,medium,credential,<install>/docker-compose.yml,docker|linux|macos|windows,high,credential-access,"plaintext: Ships hardcoded MySQL credentials in the repo itself: MYSQL_USER, MYSQL_PASSWORD and MYSQL_ROOT_PASSWORD for the agentgpt_db container, with the same application user and password repeated in the platform service's environment block. Unchanged on a default self-host, so the database password on a live instance is a published constant.",high,stable,
AIRT-0013,AgentGPT,agent-framework,medium,credential,"Browser Local Storage, key ""agentgpt-settings-storage-v2"" (browser profile Local Storage LevelDB, AgentGPT origin - http://localhost:3000 self-hosted)",windows|macos|linux,high,credential-access,"plaintext: Client-side, not on the server. The user's own OpenAI key entered in the Settings dialog (ModelSettings.customApiKey) is persisted by a zustand persist store into browser localStorage, and the store's partialize spreads the whole modelSettings object so the key is included. It therefore lives unencrypted in the browser profile's Local Storage LevelDB, not in any AgentGPT file. Collect the browser profile of the user who ran the agent, not just the host running the containers.",high,stable,
AIRT-0013,AgentGPT,agent-framework,medium,credential,"MySQL database ""reworkd_platform"", table Account (docker volume agentgpt_db -> /var/lib/mysql in container agentgpt_db)",docker,high,credential-access,"plaintext: NextAuth Account table stores third-party provider refresh_token, access_token and id_token in unencrypted text columns for every user who signed in with Google, GitHub or Discord. Mysql:8.0 container named agentgpt_db, named docker volume agentgpt_db, MYSQL_TCP_PORT 3307 published on host 3308.",high,stable,
AIRT-0013,AgentGPT,agent-framework,medium,credential,REWORKD_PLATFORM_SECRET_SIGNING_KEY  (read from <install>/platform/.env),windows|macos|linux|docker,high,credential-access,"plaintext: The Fernet key that protects the OauthCredentials rows above. Read via pydantic Settings with env_prefix REWORKD_PLATFORM_. The setup CLI's generated env file does not emit this variable, so on a default install it stays at the shipped default - check whether the operator set it before concluding the stored tokens were ever protected.",high,stable,
AIRT-0004,Aider,coding-agent-cli,high,disk,aider  (pipx: ~/.local/bin/aider),windows|macos|linux,medium,execution|program-presence,Binary for Aider,high,stable,
AIRT-0004,Aider,coding-agent-cli,high,disk,~/.aider.conf.yml,windows|macos|linux,high,configuration,Also searched in CWD and git root,high,stable,
AIRT-0004,Aider,coding-agent-cli,high,disk,~/.aider/caches/,windows|macos|linux,low,program-presence,Cache Dir for Aider,medium,stable,
AIRT-0004,Aider,coding-agent-cli,high,disk,<repo>/.aider.tags.cache.v4/,windows|macos|linux,low,user-activity|data-access|timeline,SQLite diskcache of repo symbol map,medium,rotating,
AIRT-0004,Aider,coding-agent-cli,high,disk,<repo>/.aider.chat.history.md,windows|macos|linux,high,user-activity|data-access|timeline,Full chat transcript incl. Source code - high-value forensic artifact.,high,rotating,
AIRT-0004,Aider,coding-agent-cli,high,disk,<repo>/.aider.input.history,windows|macos|linux,high,user-activity|data-access|timeline,User prompt history - forensic timeline source,high,rotating,
AIRT-0004,Aider,coding-agent-cli,high,network,"openrouter.ai, api.openai.com, api.anthropic.com",,,,,high,live,
AIRT-0004,Aider,coding-agent-cli,high,network,OAuth PKCE callback listener,,,,Transient listener during OpenRouter auth,medium,live,
AIRT-0004,Aider,coding-agent-cli,high,process,aider / python,windows|macos|linux,,,,high,live,
AIRT-0004,Aider,coding-agent-cli,high,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The child processes of this event are what the agent actually did, and the parent tells you whether a human started it or something else did.",medium,rotating,
AIRT-0004,Aider,coding-agent-cli,high,credential,~/.aider/oauth-keys.env,windows|macos|linux,high,credential-access,plaintext: OpenRouter OAuth (PKCE) tokens - plaintext,medium,stable,
AIRT-0004,Aider,coding-agent-cli,high,credential,<home|gitroot|cwd>/.env,windows|macos|linux,high,credential-access,plaintext: OPENAI_API_KEY / ANTHROPIC_API_KEY - plaintext,high,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,disk,node .../language-server/build/aws-lsp-codewhisperer-token-binary.js --stdio,windows|macos|linux,medium,execution|program-presence,npm pkg @aws/lsp-codewhisperer,high,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,disk,%USERPROFILE%\.vscode\extensions\amazonwebservices.amazon-q-vscode-*,windows,low,program-presence,Extension Dir for Amazon Q Developer (ex-CodeWhisperer),high,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,disk,<repo>/.amazonq/rules/*.md,windows|macos|linux,low,configuration|prompt-injection-surface,Rules File for Amazon Q Developer (ex-CodeWhisperer),medium,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,network,"q.us-east-1.amazonaws.com, codewhisperer.*.amazonaws.com, *.awsapps.com/start",,,,HTTPS_PROXY honored,high,live,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,process,node (aws-lsp-codewhisperer-token-binary.js),windows|macos|linux,,,,high,live,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The image name is not the discriminator here, because the process is a shared interpreter that hosts much of this catalog - key on the command line instead. The child processes of this event are what the agent actually did.",medium,rotating,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,credential,~/.aws/sso/cache/*.json,windows|macos|linux,high,credential-access,plaintext: SSO access tokens - credential-theft target,high,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,mcp-config,~/.aws/amazonq/mcp.json,,high,execution|persistence,"Global scope. The CLI reads this and the workspace file together and takes the union, so checking one path alone under-reports what the agent could run.",high,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,mcp-config,<repo>/.amazonq/mcp.json,,high,execution|persistence,Workspace scope. Travels with the repo.,high,stable,
AIRT-0008,Amazon Q Developer (ex-CodeWhisperer),coding-agent-ide,medium,mcp-config,~/.aws/amazonq/default.json,,high,execution|persistence,Where the IDE stores a server added at global scope,high,stable,
AIRT-0027,AutoGen,agent-framework,high,disk,"OAI_CONFIG_LIST  (JSON, CWD or env-specified path)",windows|macos|linux,high,configuration,Plaintext api_key values,high,stable,
AIRT-0027,AutoGen,agent-framework,high,disk,coding/  (default LocalCommandLineCodeExecutor work_dir),windows|macos|linux,low,program-presence,Agent-generated code executed on host,medium,stable,
AIRT-0027,AutoGen,agent-framework,high,process,python,windows|macos|linux,,,,high,live,
AIRT-0027,AutoGen,agent-framework,high,registry,HKCU\Environment,,medium,,"Points at the JSON file holding model endpoints and their API keys, so the variable locates the credential rather than being one",medium,stable,
AIRT-0027,AutoGen,agent-framework,high,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The image name is not the discriminator here, because the process is a shared interpreter that hosts much of this catalog - key on the command line instead. The child processes of this event are what the agent actually did.",medium,rotating,
AIRT-0027,AutoGen,agent-framework,high,credential,"OAI_CONFIG_LIST  (JSON file in CWD, or env var of the same name)",windows|macos|linux,high,credential-access,"plaintext: Plaintext JSON list of model configs, each carrying an `api_key` field. Vendor docs state AutoGen looks for the keys in the OAI_CONFIG_LIST file in the current working directory, or in the OAI_CONFIG_LIST environment variable - so the variable may hold the JSON itself, not just a path. Collect the process environment as well as the CWD.",high,stable,
AIRT-0027,AutoGen,agent-framework,high,credential,OPENAI_API_KEY / AZURE_OPENAI_API_KEY / ANTHROPIC_API_KEY,windows|macos|linux,high,credential-access,"plaintext: Plaintext provider keys in the process environment. Autogen-ext's OpenAI client documents api_key as ""Required if 'OPENAI_API_KEY' is not found in the environment variables""; the Studio gallery builder enumerates all three names. This is the fallback path when no OAI_CONFIG_LIST is present.",high,stable,
AIRT-0027,AutoGen,agent-framework,high,credential,~/.autogenstudio/database.sqlite,windows|macos|linux,high,credential-access,"sqlite: AutoGen Studio application database. The Settings table stores a SettingsConfig JSON blob holding the default model client config (which carries `api_key`) plus user-defined environment variables - so provider keys live in the DB, not in a keyring. Default appdir is ~/.autogenstudio, overridable via --appdir or AUTOGENSTUDIO_APPDIR; --database-uri can relocate it to Postgres/MySQL entirely.",low,stable,
AIRT-0027,AutoGen,agent-framework,high,credential,~/.autogenstudio/.env,windows|macos|linux,high,credential-access,"plaintext: Plaintext env file in the AutoGen Studio appdir. Web/initialization.py calls load_dotenv() on it at startup, and the vendor README states .env files in that directory are used to set environment variables for the app. Follows --appdir / AUTOGENSTUDIO_APPDIR if relocated.",high,stable,
AIRT-0027,AutoGen,agent-framework,high,mcp-config,"Import of autogen_ext.tools.mcp - McpWorkbench, StdioServerParams, StdioMcpToolAdapter",,high,execution|persistence,"The vendor documents StdioServerParams as executing commands in the local environment and warns to connect only to trusted servers, which makes the parameter literal in the source the thing to read",high,stable,
AIRT-0012,AutoGPT,agent-framework,high,disk,<install>/workspace/  |  auto_gpt_workspace/,windows|macos|linux,low,program-presence,Agent-generated files - triage as unknown-origin content,medium,stable,
AIRT-0012,AutoGPT,agent-framework,high,credential,<install>/.env,windows|macos|linux,high,credential-access,plaintext: OPENAI_API_KEY plaintext,medium,stable,
AIRT-0012,AutoGPT,agent-framework,high,mcp-config,"MCP integrations connected in the AutoGPT Platform UI and persisted in the platform's own store, not in a file beside the agent",,high,execution|persistence,"This belongs to the Platform rather than to the classic self-prompting loop this entry was first written for, so a host running only the old agent has none of it",medium,stable,
AIRT-0032,Browser-Use,browser-agent,high,network,Configured LLM provider + arbitrary target sites,,,,"Agent-driven browsing produces anomalous, machine-paced web traffic",medium,live,
AIRT-0032,Browser-Use,browser-agent,high,process,python,windows|macos|linux,,,,medium,live,
AIRT-0032,Browser-Use,browser-agent,high,registry,HKCU\Environment,,medium,,Cloud credential set persistently for the user,medium,stable,
AIRT-0032,Browser-Use,browser-agent,high,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The image name is not the discriminator here, because the process is a shared interpreter that hosts much of this catalog - key on the command line instead. The child processes of this event are what the agent actually did.",medium,rotating,
AIRT-0032,Browser-Use,browser-agent,high,credential,~/.config/browseruse/cloud_auth.json,windows|macos|linux,high,credential-access,"plaintext: Plaintext JSON holding `api_token` (an OAuth2 device-authorization-grant access token for Browser Use Cloud), `user_id` and `authorized_at`. Written via json.dump by the cloud sync auth flow, which then attempts chmod 0600. Check existence and mode; do not read contents.",high,stable,
AIRT-0032,Browser-Use,browser-agent,high,credential,~/.config/browseruse/config.json,windows|macos|linux,high,credential-access,"plaintext: Plaintext LLM provider keys. The DB-style config holds LLMEntry records carrying an `api_key` field. Resolved as $XDG_CONFIG_HOME/browseruse/config.json, defaulting to ~/.config on every platform including Windows; BROWSER_USE_CONFIG_DIR overrides the directory.",high,stable,
AIRT-0032,Browser-Use,browser-agent,high,credential,~/.config/browseruse/profiles/default,windows|macos|linux,high,credential-access,"unknown: Default Chromium user_data_dir for agent sessions - a live, logged-in browser profile, and the highest-value item for this tool. Cookies sit in Default/Cookies (SQLite) with values encrypted under an OS-keyring-derived key, so the profile plus the user's keyring reconstitutes authenticated sessions and bypasses MFA. Collect the directory as a unit; do not decrypt cookie values.",high,stable,
AIRT-0032,Browser-Use,browser-agent,high,credential,~/.config/browseruse/gmail_credentials.json  |  ~/.config/browseruse/gmail_token.json,windows|macos|linux,high,credential-access,plaintext: Optional Gmail integration (used to retrieve 2FA codes). Gmail_credentials.json is the Google OAuth client secret; gmail_token.json is the resulting access/refresh token. Default filenames inside the browser-use config dir; present only when that integration is configured. Their presence indicates the agent could read the user's mail.,high,stable,
AIRT-0032,Browser-Use,browser-agent,high,credential,BROWSER_USE_API_KEY,windows|macos|linux,high,credential-access,"plaintext: Plaintext Browser Use Cloud API key in the process environment, sent as the X-Browser-Use-API-Key header. Documented in the vendor README and used by the cloud SDK when no argument is passed.",high,stable,
AIRT-0032,Browser-Use,browser-agent,high,credential,<project>/.env,windows|macos|linux,high,credential-access,"plaintext: Plaintext keys. The vendor README shows BROWSER_USE_API_KEY and provider keys written to a project .env, and the shipped examples load it with dotenv.",high,stable,
AIRT-0032,Browser-Use,browser-agent,high,credential,OPENAI_API_KEY / ANTHROPIC_API_KEY / GOOGLE_API_KEY / DEEPSEEK_API_KEY / GROK_API_KEY / NOVITA_API_KEY / AZURE_OPENAI_KEY,windows|macos|linux,high,credential-access,"plaintext: Plaintext provider keys read from the process environment by browser_use/config.py. Note the Azure variable is AZURE_OPENAI_KEY here (paired with AZURE_OPENAI_ENDPOINT), not the AZURE_OPENAI_API_KEY name other tools use.",high,stable,
AIRT-0032,Browser-Use,browser-agent,high,mcp-config,"uvx browser-use[cli] running as a stdio MCP server, and a browser-use entry inside another tool's MCP config",,high,execution|persistence,"Grants full browser control to whatever client loads it, so the question is which client's config names it - find that config rather than looking for one here",medium,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,%APPDATA%\npm\claude.cmd,windows,medium,execution|program-presence,npm global bin shim,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,%APPDATA%\npm\node_modules\@anthropic-ai\claude-code\,windows,medium,execution|program-presence,Package root,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,~/.local/bin/claude,macos|linux,medium,execution|program-presence,Native installer path,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,/usr/local/bin/claude,macos|linux,medium,execution|program-presence,npm global,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,~/.claude/,windows|macos|linux,low,program-presence,"settings.json, settings.local.json, CLAUDE.md, .credentials.json, statsig/",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,~/.claude.json,windows|macos|linux,high,configuration,Runtime auth state + user-scoped MCP servers,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,<repo>/.claude/settings.json,windows|macos|linux,low,user-activity|data-access,"Project-scoped settings, committed to git",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,<repo>/.mcp.json,windows|macos|linux,high,user-activity|data-access,"Project-scoped MCP servers - execution primitive, review on clone",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,disk,<repo>/CLAUDE.md,windows|macos|linux,low,user-activity|data-access,Instruction file - prompt-injection surface,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,registry,HKLM\SOFTWARE\Microsoft\Cryptography,,medium,,Read (not written) for device fingerprinting / licensing telemetry,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,registry,HKCU\Environment,,medium,,Persistent user-level secrets. A modified *_BASE_URL silently redirects all inference to an attacker proxy.,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Uninstall\*,,medium,,Shadow-AI IDE inventory sweep,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,network,api.anthropic.com,,,,ANTHROPIC_BASE_URL can redirect to a gateway/proxy - check for overrides,high,live,
AIRT-0001,Claude Code,coding-agent-cli,critical,network,"claude.ai (installer), statsig.anthropic.com (telemetry)",,,,install.sh source,high,live,
AIRT-0001,Claude Code,coding-agent-cli,critical,process,node.exe (claude),windows,,,,high,live,
AIRT-0001,Claude Code,coding-agent-cli,critical,process,claude / node,macos|linux,,,,high,live,
AIRT-0001,Claude Code,coding-agent-cli,critical,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The image name is not the discriminator here, because the process is a shared interpreter that hosts much of this catalog - key on the command line instead. The child processes of this event are what the agent actually did.",medium,rotating,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,macOS login Keychain (~/Library/Keychains/login.keychain-db),macos,high,credential-access,"os-keyring: Not A file on macOS. The /login OAuth credential lives in the encrypted login Keychain, so it needs keychain acquisition rather than file collection. The generic-password item is widely reported as 'Claude Code-credentials'.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,~/.claude/.credentials.json,linux|windows,high,credential-access,"plaintext: Plaintext OAuth credential file. Mode 0600 on Linux; on Windows the path is %USERPROFILE%\.claude\.credentials.json and it inherits user-profile ACLs. Vendor-documented for Linux and Windows only, not macOS.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,$CLAUDE_CONFIG_DIR/.credentials.json,linux|windows,high,credential-access,"plaintext: plaintext. When CLAUDE_CONFIG_DIR is set, .credentials.json lives under that directory instead of ~/.claude. Check the variable before concluding no credential file exists.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,ANTHROPIC_API_KEY,windows|macos|linux|docker|container|cloud,high,credential-access,"plaintext: Plaintext Anthropic API key read from the process environment; sent as the X-Api-Key header. Ranks above the /login credential once approved, so it can silently replace the interactive identity.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,ANTHROPIC_AUTH_TOKEN,windows|macos|linux|docker|container|cloud,high,credential-access,plaintext: Plaintext bearer token read from the process environment; sent as the Authorization: Bearer header when routing through an LLM gateway or proxy. Outranks apiKeyHelper and the /login credential.,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,CLAUDE_CODE_OAUTH_TOKEN,windows|macos|linux|docker|container|cloud,high,credential-access,"plaintext: Plaintext long-lived (one year) OAuth token minted by 'claude setup-token'. Intended for CI and scripts, so expect it in pipeline secrets, shell profiles and container env rather than on the user's disk.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,~/.claude.json,windows|macos|linux,high,credential-access,plaintext: Plaintext third-party secrets embedded in local- and user-scoped MCP server definitions: mcpServers.<name>.env values and mcpServers.<name>.headers (for example an Authorization: Bearer PAT). 'claude mcp add --env KEY=value' and header flags write the value straight into this file,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,<project>/.mcp.json,windows|macos|linux,high,credential-access,"plaintext: Plaintext third-party secrets in project-scoped MCP server definitions (env and headers blocks). Travels with the repo and is commonly committed, so treat any literal value here as an exposed credential; ${VAR} expansion is optional, not enforced.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,~/.config/anthropic/configs/,macos|linux,high,credential-access,"unknown: Anthropic profile configuration directory (Windows: %APPDATA%\Anthropic\configs\). Holds named profiles written by 'ant auth login' (auth mode user_oauth) or set up for Workload Identity Federation (oidc_federation). A named profile outranks the /login credential, so this can be the credential actually in use. On-disk format not stated by the vendor page - storage left unknown deliberately.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,credential,macOS login Keychain (MCP remote-server OAuth credentials),macos,high,credential-access,"os-keyring: OAuth client secrets and tokens for remote (HTTP/SSE) MCP servers are held in the system keychain, not in ~/.claude.json or .mcp.json - so an MCP config with no visible secret does not mean no credential exists. Vendor names the keychain but not the item; on Linux/Windows it says only 'a credentials file'.",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,mcp-config,~/.claude.json,,high,execution|persistence,"User-scoped, applies to all projects",high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,mcp-config,<repo>/.mcp.json,,high,execution|persistence,Travels with the repo - review on every clone/PR,high,stable,
AIRT-0001,Claude Code,coding-agent-cli,critical,mcp-config,<repo>/.claude/settings.local.json,,high,execution|persistence,Records which project servers the user approved - consent evidence,high,stable,
AIRT-0033,Claude Computer Use,computer-use-agent,high,disk,Docker container running the reference implementation,windows|macos|linux,low,program-presence,Screenshot loop artifacts inside container,high,stable,
AIRT-0033,Claude Computer Use,computer-use-agent,high,network,api.anthropic.com,,,,High-volume image (screenshot) uploads - distinctive egress volume signature,high,live,
AIRT-0033,Claude Computer Use,computer-use-agent,high,credential,~/.anthropic/api_key,docker|container|macos|linux,high,credential-access,"plaintext: Plaintext Anthropic API key persisted by the reference implementation's Streamlit UI, written with mode 0600. Lives at /home/computeruse/.anthropic/api_key inside the container, which the documented docker run bind-mounts from the host at $HOME/.anthropic - so the key survives container teardown on the host filesystem.",high,stable,
AIRT-0033,Claude Computer Use,computer-use-agent,high,credential,ANTHROPIC_API_KEY,docker|container,high,credential-access,"plaintext: Plaintext API key passed on the docker run command line (-e ANTHROPIC_API_KEY=...). Recoverable from container config metadata and from host shell history, independently of the container filesystem.",high,stable,
AIRT-0033,Claude Computer Use,computer-use-agent,high,credential,~/.aws,docker|container|macos|linux,high,credential-access,"plaintext: The host AWS credential directory (credentials, config, sso/cache/) is bind-mounted into the container at /home/computeruse/.aws in the documented Bedrock profile setup. Anything running in the container inherits the user's full AWS identity, so scope the blast radius to every profile in that directory, not just the one named.",high,stable,
AIRT-0033,Claude Computer Use,computer-use-agent,high,credential,AWS_ACCESS_KEY_ID / AWS_SECRET_ACCESS_KEY / AWS_SESSION_TOKEN,docker|container,high,credential-access,"plaintext: Plaintext AWS access key ID, secret access key and STS session token passed on the docker run command line in the documented Bedrock access-key setup. Expect them in container config metadata and host shell history.",high,stable,
AIRT-0033,Claude Computer Use,computer-use-agent,high,credential,~/.config/gcloud/application_default_credentials.json,docker|container|macos|linux,high,credential-access,plaintext: Plaintext Google Application Default Credentials (refresh token / service-account material) bind-mounted file-for-file from the host into the container in the documented Vertex AI setup,high,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,~/Library/Application Support/Claude/claude_desktop_config.json,macos,high,execution|persistence|configuration,Primary execution primitive,high,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,%APPDATA%\Claude\claude_desktop_config.json,windows,high,execution|persistence|configuration,Primary execution primitive,high,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,%LOCALAPPDATA%\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\claude_desktop_config.json,windows,high,execution|persistence|configuration,Virtualized PATH - the app reads this one. Commonly missed by IR.,high,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,~/.config/Claude/claude_desktop_config.json,linux,high,execution|persistence|configuration,Primary execution primitive,high,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,*.mcpb (Desktop Extension),windows|macos|linux,medium,program-presence,ZIP archive containing server code + manifest - unpack and review,high,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,%APPDATA%\Claude\logs\mcp*.log,windows,high,timeline|execution,MCP server stdout/stderr - forensic goldmine,medium,rotating,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,disk,~/Library/Logs/Claude/mcp*.log,macos,high,timeline|execution,MCP server stdout/stderr,medium,rotating,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Uninstall\Claude,,medium,,Install metadata,medium,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,,high,,Auto-start - launches all configured MCP servers on login,medium,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,registry,HKCU\Software\Classes\claude\shell\open\command,,medium,,claude:// protocol handler - deep-link vector,medium,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,registry,HKCU\Software\Classes\ActivatableClasses\Package\Claude_pzs8sxrjxfjjc*,,medium,,Store package registration,medium,stable,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,network,"api.anthropic.com, claude.ai",,,,Plus any egress initiated by child MCP servers,high,live,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,network,registry.npmjs.org (npx MCP server fetch),,,,npx @scope/server@latest pulls and executes code at every launch - supply-chain risk,high,live,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,process,Claude.exe,windows,,,,high,live,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,process,Claude,macos,,,,high,live,
AIRT-0011,Claude Desktop (MCP host),mcp-host,critical,eventlog,Microsoft-Windows-Sysmon/Operational EID 1,windows,high,execution|timeline,"Proves the agent ran, which disk presence does not. The child processes of this event are what the agent actually did, and the parent tells you whether a human started it or something else did.",medium,rotating,
